datetime,ip,response_msec
20191212122337,10.20.30.1/16,37
20191212122317,10.20.30.2/16,21
20191212122323,192.168.1.1/24,25
20191212122324,192.168.1.2/24,66
20191212122347,10.20.30.1/16,64
20191212122327,10.20.30.2/16,417
20191212122333,192.168.1.1/24,573
20191212122334,192.168.1.2/24,720
20191212122357,10.20.30.1/16,499
20191212122337,10.20.30.2/16,381
20191212122343,192.168.1.1/24,189
20191212122344,192.168.1.2/24,432
20191212122407,10.20.30.1/16,197
20191212122347,10.20.30.2/16,757
20191212122353,192.168.1.1/24,776
20191212122354,192.168.1.2/24,929
